Pipefitter,,ChinaMerchantsBank,,PACs,,sfx,,TheUniversityofArizona,,
SheetMetalWorker,,ChinaMerchantsGroup,,PaperMill,,SocialWork,,TheUniversityofBritishColumbia,,
IronWorker,,ChinaMinmetals,,PaydayLenders,,Sociology,,TheUniversityofTexasatAustin,,
Mason,,ChinaMinshengBanking,,petroleum,,SpecialEducation,,TheUniversityofUtah,,
Roofer,,ChinaMobileCommunications,,Pharmaceutical,,SpeechCommunication,,TuftsUniversity,,
SolarPhotovoltaicInstaller,,ChinaNationalAviationFuelGroup,,Physicians,,SpeechPathologyandAudiology/CommunicationDisorder,,TulaneUniversity,,
WellDriller,,ChinaNationalBuildingMaterialGroup,,Postalservice,,Statistics,,UniversitédeMontréal,,
CEO,,ChinaNationalOffshoreOil,,PowerUtilities,,StudioArt,,UniversitéduQuébecàMontréal,,
Proprietor,,ChinaNationalPetroleum,,Printing,,Telecommunications,,UniversitéLaval,,
Principal,,ChinaNorthIndustriesGroup,,PrivateEquity,,Theater,,UniversityatAlbanyStateUniversityofNewYork,,
Owner,,ChinaPacificInsuranceGroup,,ProfessionalSports,,WildlifeandFisheryScience,,UniversityatBuffaloStateUniversityofNewYork,,
President,,ChinaPolyGroup,,Publications,,WildlifeTechnology,,UniversityofAlabamaatBirmingham,,
Founder,,ChinaPostGroup,,PublicOfficials,,WomensStudies,,UniversityofAlberta,,
Administrator,,ChinaRailwayConstruction,,PublicRelations,,zoology,,UniversityofArkansas,,
Director,,ChinaRailwayEngineeringGroup,,publicrelations,,,,UniversityofCalgary,,
ManagingPartner,,ChinaResources,,publishing,,,,UniversityofCaliforniaRiverside,,
ManagingMember,,ChinaShipbuildingIndustry,,Radio,,,,UniversityofCaliforniaSanFrancisco,,
Board of Directors,,ChinaSouthernPowerGrid,,Railroads,,,,UniversityofCaliforniaSantaCruz,,
Shareholders,,ChinaSouthIndustriesGroup,,Realestate,,,,UniversityofCentralFlorida,,
Managers,,ChinaStateConstructionEngineering,,RealEstate,,,,UniversityofCincinnati,,
Supervisors,,ChinaStateShipbuilding,,RecordCompanies,,,,UniversityofColoradoDenver,,
FrontLineEmployees,,ChinaTaipingInsuranceGroup,,recordingstudio,,,,UniversityofConnecticut,,
QualityControl,,ChinaTelecommunications,,ReligiousOrganizations,,,,UniversityofDelaware,,
HumanResources,,ChinaUnitedNetworkCommunications,,ReligiousOrganizations,,,,UniversityofDenver,,
OfficeManager,,ChinaVanke,,ResidentialConstruction,,,,UniversityofGeorgia,,
Receptionist,,ChristianDior,,Restaurants,,,,UniversityofGuelph,,
VirtualAssistant,,CHS,,Restaurants,,,,UniversityofHouston,,
CustomerService,,Chubb,,RetailSales,,,,UniversityofIdaho,,
CustomerSupport,,ChubuElectricPower,,Retired,,,,UniversityofIllinoisatChicago,,
Concierge,,Cigna,,SeaTransport,,,,UniversityofIowa,,
HelpDesk,,CiscoSystems,,Securities,,,,UniversityofKansas,,
CustomerServiceManager,,CITICGroup,,SpecialTradeContractors,,,,UniversityofKentucky,,
TechnicalSupportSpecialist,,Citigroup,,SportsArena,,,,UniversityofManitoba,,
AccountRepresentative,,CJCorp,,SteelProduction,,,,UniversityofMarylandUniversityCollege,,
ClientServiceSpecialist,,CKHutchisonHoldings,,StockBrokers,,,,UniversityofMarylandBaltimoreCounty,,
CustomerCareAssociate,,CNPAssurances,,StudentLoanCompanies,,,,UniversityofMassachusettsAmherst,,
OperationsManager,,CocaCola,,telecommunication,,,,UniversityofMiami,,
OperationsAssistant,,COFCO,,TelephoneUtilities,,,,UniversityofMissouri,,
OperationsCoordinator,,Comcast,,Textiles,,,,UniversityofNebraskaLincoln,,
OperationsAnalyst,,CommonwealthBankofAustralia,,Timber,,,,UniversityofNevadaLasVegas,,
OperationsDirector,,CompalElectronics,,Tobacco,,,,UniversityofNevadaReno,,
VicePresidentofOperations,,CompassGroup,,Tourism,,,,UniversityofNewHampshire,,
OperationsProfessional,,ConocoPhillips,,Transportation,,,,UniversityofNewMexico,,
ScrumMaster,,Continental,,Trucking,,,,UniversityofNorthCarolinaatCharlotte,,
ContinuousImprovementLead,,CoopGroup,,TV,,,,UniversityofNorthTexas,,
ContinuousImprovementConsultant,,Costco,,Unions,,,,UniversityofNotreDame,,
CreditAuthorizer,,CountryGardenHoldings,,Utilities,,,,UniversityofOregon,,
BenefitsManager,,CPC,,utilities,,,,UniversityofOttawa,,
CreditCounselor,,CreditAgricole,,venturecapital,,,,UniversityofRhodeIsland,,
Accountant,,CreditSuisseGroup,,VentureCapital,,,,UniversityofRochester,,
Bookkeeper,,CRH,,Warehouse,,,,UniversityofSaskatchewan,,
AccountingAnalyst,,CRRC,,Waste Management,,,,UniversityofSouthCarolina,,
AccountingDirector,,CVSHealth,,cityplanning,,,,UniversityofSouthFlorida,,
AccountsPayable/ReceivableClerk,,DaiichiLifeHoldings,,civilengineering,,,,UniversityofVermont,,
Auditor,,Daimler,,Biology,,,,UniversityofVictoria,,
BudgetAnalyst,,DaiwaHouseIndustry,,Genetics,,,,UniversityofWaterloo,,
Controller,,Danone,,,,,,UniversityofWisconsinMilwaukee,,
FinancialAnalyst,,DatongCoalMineGroup,,,,,,UniversityofCaliforniaBerkeley,,
FinanceManager,,Deere,,,,,,UniversityofCaliforniaDavis,,
Economist,,DellTechnologies,,,,,,UniversityofCaliforniaIrvine,,
PayrollManager,,DeltaAirLines,,,,,,UniversityofCaliforniaLosAngeles,,
PayrollClerk,,Denso,,,,,,UniversityofCaliforniaSanDiego,,
FinancialPlanner,,DeutscheBahn,,,,,,UniversityofCaliforniaSantaBarbara,,
FinancialServicesRepresentative,,DeutscheBank,,,,,,UniversityofChicago,,
FinanceDirector,,DeutschePostDHLGroup,,,,,,UniversityofColoradoBoulder,,
CommercialLoanOfficer,,DeutscheTelekom,,,,,,UniversityofFlorida,,
Engineer,,Disney,,,,,,UniversityofIllinoisatUrbanaChampaign,,
MechanicalEngineer,,DongfengMotor,,,,,,UniversityofMaryland,,
CivilEngineer,,DowDuPont,,,,,,UniversityofMichigan,,
ElectricalEngineer,,DXCTechnology,,,,,,UniversityofMinnesota,,
AssistantEngineer,,DZBank,,,,,,UniversityofNorthCarolinaatChapelHill,,
ChemicalEngineer,,EastJapanRailway,,,,,,UniversityofPennsylvania,,
ChiefEngineer,,EdekaZentrale,,,,,,UniversityofPittsburgh,,
